Player: GTR | Score: 1600 | Infantry Kills: 10 | Undead Kills: 6 | Vehicle Kills: 0 | Other Kills: 0
Player: GTR | Score: 0 | Infantry Kills: 0 | Undead Kills: 0 | Vehicle Kills: 0 | Other Kills: 0
Player: MEOW | Score: 5500 | Infantry Kills: 32 | Undead Kills: 22 | Vehicle Kills: 0 | Other Kills: 1
Player: OSAID | Score: 4600 | Infantry Kills: 24 | Undead Kills: 22 | Vehicle Kills: 0 | Other Kills: 0
Player: MEOW | Score: 1900 | Infantry Kills: 13 | Undead Kills: 6 | Vehicle Kills: 0 | Other Kills: 0
Player: MEOW | Score: 5500 | Infantry Kills: 32 | Undead Kills: 22 | Vehicle Kills: 0 | Other Kills: 1
Player: MEOW | Score: 6500 | Infantry Kills: 32 | Undead Kills: 31 | Vehicle Kills: 0 | Other Kills: 2
Player: MEOW | Score: 7500 | Infantry Kills: 32 | Undead Kills: 40 | Vehicle Kills: 0 | Other Kills: 3
Player: MEOW | Score: 8400 | Infantry Kills: 44 | Undead Kills: 30 | Vehicle Kills: 0 | Other Kills: 10
Player: F | Score: 2200 | Infantry Kills: 12 | Undead Kills: 10 | Vehicle Kills: 0 | Other Kills: 0
Player: FV | Score: 2300 | Infantry Kills: 13 | Undead Kills: 10 | Vehicle Kills: 0 | Other Kills: 0
Player: DF | Score: 8400 | Infantry Kills: 44 | Undead Kills: 30 | Vehicle Kills: 0 | Other Kills: 10
Player: REF | Score: 200 | Infantry Kills: 0 | Undead Kills: 2 | Vehicle Kills: 0 | Other Kills: 0
Player: RG | Score: 1300 | Infantry Kills: 11 | Undead Kills: 2 | Vehicle Kills: 0 | Other Kills: 0
Player: RG | Score: 400 | Infantry Kills: 0 | Undead Kills: 4 | Vehicle Kills: 0 | Other Kills: 0
Player: RG | Score: 1800 | Infantry Kills: 10 | Undead Kills: 8 | Vehicle Kills: 0 | Other Kills: 0
Player: RG | Score: 8400 | Infantry Kills: 44 | Undead Kills: 30 | Vehicle Kills: 0 | Other Kills: 10
Player: RG | Score: 300 | Infantry Kills: 1 | Undead Kills: 2 | Vehicle Kills: 0 | Other Kills: 0
Player: RG | Score: 8400 | Infantry Kills: 44 | Undead Kills: 30 | Vehicle Kills: 0 | Other Kills: 10
Player: RG | Score: 0 | Infantry Kills: 0 | Undead Kills: 0 | Vehicle Kills: 0 | Other Kills: 0
Player: MEOW | Score: 0 | Infantry Kills: 0 | Undead Kills: 0 | Vehicle Kills: 0 | Other Kills: 0
Player: MEOW | Score: 0 | Infantry Kills: 0 | Undead Kills: 0 | Vehicle Kills: 0 | Other Kills: 0
Player: MEOWW | Score: 0 | Infantry Kills: 0 | Undead Kills: 0 | Vehicle Kills: 0 | Other Kills: 0
Player: MEOWW | Score: 5100 | Infantry Kills: 34 | Undead Kills: 12 | Vehicle Kills: 0 | Other Kills: 5
